video_path,label,category
aiEngine/dataset/raw\Violence\V_599.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_463.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_549.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_890.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_434.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_762.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_443.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_619.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_614.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_729.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_97.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_494.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_546.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_898.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_956.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_914.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_764.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_117.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_363.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_214.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_828.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_979.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_996.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_320.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_315.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_572.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_555.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_590.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_302.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_861.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_354.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_974.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_667.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_947.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_339.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_142.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_822.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_747.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_338.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_591.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_404.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_270.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_61.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_592.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_282.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_93.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_520.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_925.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_21.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_186.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_69.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_864.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_15.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_577.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_769.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_318.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_628.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_96.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_166.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_661.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_429.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_862.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_541.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_577.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_45.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_532.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_78.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_641.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_878.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_396.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_65.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_564.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_253.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_23.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_850.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_789.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_754.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_284.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_606.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_291.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_14.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_340.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_954.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_811.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_198.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_480.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_688.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_707.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_563.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_540.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_848.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_612.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_778.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_248.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_121.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_321.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_845.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_211.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_287.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_467.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_495.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_923.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_81.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_388.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_738.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_108.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_474.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_270.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_421.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_30.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_648.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_283.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_516.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_457.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_216.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_912.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_199.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_727.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_247.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_318.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_853.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_726.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_247.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_390.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_445.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_903.avi,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_627.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_341.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_772.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_640.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_228.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_629.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_895.avi,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_795.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_934.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_690.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_676.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_653.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_314.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_773.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_335.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_797.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_11.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_17.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_492.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_250.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_404.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_626.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_164.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_967.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_749.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_636.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_796.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_22.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_367.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_782.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_662.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_880.avi,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_858.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_610.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_991.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_598.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_890.avi,0,NonViolence
aiEngine/dataset/raw\Violence\V_476.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_720.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_361.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_169.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_537.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_46.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_32.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_960.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_155.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_508.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_911.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_319.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_694.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_911.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_790.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_738.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_540.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_456.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_64.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_517.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_440.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_888.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_765.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_503.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_594.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_124.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_523.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_437.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_745.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_814.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_350.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_567.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_263.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_49.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_548.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_342.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_31.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_406.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_217.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_38.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_62.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_201.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_387.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_364.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_47.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_987.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_53.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_416.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_569.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_879.avi,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_750.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_80.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_397.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_173.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_422.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_343.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_910.avi,0,NonViolence
aiEngine/dataset/raw\Violence\V_910.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_592.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_758.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_140.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_882.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_771.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_111.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_193.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_195.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_564.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_515.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_351.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_238.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_492.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_313.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_325.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_251.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_64.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_179.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_403.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_156.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_85.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_147.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_933.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_900.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_84.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_529.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_424.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_391.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_304.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_781.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_771.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_908.avi,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_181.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_405.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_233.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_322.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_90.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_104.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_298.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_680.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_743.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_58.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_154.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_158.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_295.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_544.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_595.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_940.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_472.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_558.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_350.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_411.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_79.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_167.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_13.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_172.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_129.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_539.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_307.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_330.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_642.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_267.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_53.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_729.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_791.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_857.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_476.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_950.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_874.avi,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_31.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_289.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_226.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_534.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_603.mp4,1,Violence
aiEngine/dataset/raw\Violence\V_600.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_37.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_728.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_2.mp4,0,NonViolence
aiEngine/dataset/raw\Violence\V_611.mp4,1,Violence
aiEngine/dataset/raw\NonViolence\NV_479.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_891.avi,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_766.mp4,0,NonViolence
aiEngine/dataset/raw\NonViolence\NV_659.mp4,0,NonViolence
